2026-01-28 10:55:05 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\2457143\IdeaProjects\DevProfileAutomationFramework\testnggrid.xml] otherwise TestNG may fail or not work as expected.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-01-28 10:55:05 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 5 ms.
